anon.id,Winooski.River.watershed,Missisquoi.River.watershed,Tool.Providers..Establish.conservation.easements,Tool.Providers..Enforce.regulation.compliance,Tool.Providers..Communicate.public.information,Tool.Providers..Administer.permits,Tool.Providers..Make.grants,Tool.Providers..Commit.to.cost.sharing,Tool.Providers..Make.loans.and.or.guarantees,Tool.Providers..Provide.contracted.services,Tool.Providers..Provide.technical.assistance,Tool.Providers..Administer.tax.incentives,Tool.Providers..Pursue.litigation,Tool.Providers..Organize.Community.Action,Tool.Facilitators..Establish.conservation.easements,Tool.Facilitators..Enforce.regulation.compliance,Tool.Facilitators..Communicate.public.information,Tool.Facilitators..Administer.permits,Tool.Facilitators..Make.grants,Tool.Facilitators..Commit.to.cost.sharing,Tool.Facilitators..Make.loans.and.or.guarantees,Tool.Facilitators..Provide.contracted.services,Tool.Facilitators..Provide.technical.assistance,Tool.Facilitators..Administer.tax.incentives,Tool.Facilitators..Pursue.litigation,Tool.Facilitators..Organize.Community.Action,Tool.Recipients..Establish.conservation.easements,Tool.Recipients..Enforce.regulation.compliance,Tool.Recipients..Communicate.public.information,Tool.Recipients..Administer.permits,Tool.Recipients..Make.grants,Tool.Recipients..Commit.to.cost.sharing,Tool.Recipients..Make.loans.and.or.guarantees,Tool.Recipients..Provide.contracted.services,Tool.Recipients..Provide.technical.assistance,Tool.Recipients..Administer.tax.incentives,Tool.Recipients..Pursue.litigation,Tool.Recipients..Organize.Community.Action,Action.Arena...Lake.Champlain.Basin.Program..LCBP..planning.and.reporting..including.the.Executive.committees..TAC..and.CAC.activities.and.State.of.the.Lake.and.Opportunities.for.Action.reports.,Action.Arena...EPA.Initiated.TMDL..including.monitoring..modeling..drafting..State.MOU..Joint.DEC.AAFM.Agricultural.Work.Group...Ag.Workgroup.....and.implementation,Action.Arena...Vermont.Tactical.Basin.Planning..TBP..committees..including.the.former.watershed.councils..and.implementation,Action.Arena...Regional.Planning.Commissions..RPCs..regional.planning.activities,Action.Arena...Municipal.stormwater.management.and.technical.assistance.provision,Action.Arena...Agricultural.technical.assistance.provision,Action.Arena...Transportation.infrastructure.project.planning.and.implementation,Action.Arena...Legislative.committees.in.the.Vermont.State.House.and.Senate.covering.agriculture,Action.Arena...Legislative.committees.in.the.Vermont.State.House.and.Senate.covering.natural.resources..water.resources..and.energy,Action.Arena...Legislative.committees.in.the.Vermont.State.House.and.Senate.covering.economic.development,Action.Arena...Legislative.committees.in.the.Vermont.State.House.and.Senate.covering.transportation,Action.Arena...The.Vermont.Green.Infrastructure.Roundtable,Domain...Agricultural.land.management.,Domain...Wastewater,Domain...Stormwater.runoff,Domain...River.corridors,Domain...Forestry,Domain...Development,Accountability.Mechanism.Feedback.from.federal..state.or.local.elected.officials,Accountability.Mechanism.Feedback.garnered.from.public.hearing..citizen.input.and.other.forms.of.citizen.participation,Accountability.Mechanism.Outcomes.of.court.cases.or.quasi.judicial.rulings,Accountability.Mechanism.Feedback.from.shareholders.or.owners.of.your.organization,Accountability.Mechanism.Feedback.from.consumers.of.your.services,Accountability.Mechanism.Direct.oversight.from.an.administratively.superior.organization.or.unit,Accountability.Mechanism.Professional.codes.of.conduct..principles.of.best.practice,Accountability.Mechanism.Feedback.from.peer.or.partnering.organizations.or.units
n281600,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
g321601,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1
n454701,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1
w231401,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0
w241216,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1
g321612,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1
w241206,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1
m241201,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1
w341203,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1
n261608,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1
m261501,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
w161401,1,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1
